Filename,SNR,Speaker,Length,Reference,Hyp_NoLM,Hyp_LM
SNR35dB_girl_seq5digits_051.wav,SNR35dB,girl,5,two four two oh six,two four two o six,two four two o six
SNR35dB_girl_seq5digits_018.wav,SNR35dB,girl,5,two five nine three two,two five nine three two,two five nine three two
SNR35dB_girl_seq5digits_043.wav,SNR35dB,girl,5,seven four three seven six,seven for three seven six,seven for three seven six
SNR35dB_girl_seq5digits_060.wav,SNR35dB,girl,5,three nine one eight nine,three nine one eight nine,three nine one eight nine
SNR35dB_girl_seq5digits_009.wav,SNR35dB,girl,5,four zero nine five zero,four zero nine five zero,four zero nine five zero
SNR35dB_girl_seq5digits_100.wav,SNR35dB,girl,5,seven zero five four six,seven zero five four six,seven zero five four six
SNR35dB_girl_seq5digits_048.wav,SNR35dB,girl,5,oh oh two eight nine,out ou two eight nine,out o two eight nine
SNR35dB_girl_seq5digits_031.wav,SNR35dB,girl,5,six five eight one five,six five eight one five,six five eight one five
SNR35dB_girl_seq5digits_082.wav,SNR35dB,girl,5,nine oh eight nine five,nine o eight nine five,nine o eight nine five
SNR35dB_girl_seq5digits_080.wav,SNR35dB,girl,5,one two oh one one,one two i one one,one two a one one
SNR35dB_girl_seq5digits_025.wav,SNR35dB,girl,5,six one six two five,six one six two five,six one six two five
SNR35dB_girl_seq5digits_047.wav,SNR35dB,girl,5,two seven one three four,two seven one three four,two seven one three four
SNR35dB_girl_seq5digits_090.wav,SNR35dB,girl,5,five one five six two,five one five six two,five one five six two
SNR35dB_girl_seq5digits_061.wav,SNR35dB,girl,5,eight five two five five,eight five to fa fad,eight five to fa fa
SNR35dB_girl_seq5digits_076.wav,SNR35dB,girl,5,four two four zero nine,for to for seo nine,for two four s nine
SNR35dB_girl_seq5digits_036.wav,SNR35dB,girl,5,one three oh oh three,one thle o o thlee,on the o o three
SNR35dB_girl_seq5digits_081.wav,SNR35dB,girl,5,seven five seven seven one,seven five seven seveny one,seven five seven seventy one
SNR35dB_girl_seq5digits_068.wav,SNR35dB,girl,5,one nine seven zero four,one nine seven ziro four,one nine seven zero four
SNR35dB_girl_seq5digits_085.wav,SNR35dB,girl,5,eight nine oh six five,eight nine o six five,eight nine o six five
SNR35dB_girl_seq5digits_059.wav,SNR35dB,girl,5,two two one six six,two two one six six,two two one six six
SNR35dB_girl_seq5digits_038.wav,SNR35dB,girl,5,zero five four six eight,zero five for six eight,zero five for six eight
SNR35dB_girl_seq5digits_073.wav,SNR35dB,girl,5,six five four nine seven,six five for us nine seven,six five for us nine seven
SNR35dB_girl_seq5digits_020.wav,SNR35dB,girl,5,four nine one seven seven,four nine one seven seven,four nine one seven seven e
SNR35dB_girl_seq5digits_008.wav,SNR35dB,girl,5,one two zero zero nine,one two zara zara nine,one two zara zara nine
SNR35dB_girl_seq5digits_007.wav,SNR35dB,girl,5,nine six oh oh six,nine six o o six,nine six o o six
SNR35dB_girl_seq5digits_072.wav,SNR35dB,girl,5,nine five seven four nine,nine five seven for nine,nine five seven for nine
SNR35dB_girl_seq5digits_011.wav,SNR35dB,girl,5,four one three four nine,four one three four nine,four one three four nine
SNR35dB_girl_seq5digits_022.wav,SNR35dB,girl,5,one seven three zero zero,one seven thrasy ruzsy rob,one seven three ruse rob
SNR35dB_girl_seq5digits_044.wav,SNR35dB,girl,5,nine nine six eight six,nine nine six eight six,nine nine six eight six
SNR35dB_girl_seq5digits_006.wav,SNR35dB,girl,5,two oh one oh two,two o one outwo,two one two
SNR35dB_girl_seq5digits_075.wav,SNR35dB,girl,5,six two zero four six,six two zero four six,six two zero four six
SNR35dB_girl_seq5digits_032.wav,SNR35dB,girl,5,oh three seven six oh,o thirty seven six o,o thirty seven six o
SNR35dB_girl_seq5digits_062.wav,SNR35dB,girl,5,six eight nine eight oh,six eight nine eight o,six eight nine eight o
SNR35dB_girl_seq5digits_065.wav,SNR35dB,girl,5,six four one four six,six four one four six,six four one four six
SNR35dB_girl_seq5digits_019.wav,SNR35dB,girl,5,six one five one five,sixt one five ine five,six one five one five
SNR35dB_girl_seq5digits_028.wav,SNR35dB,girl,5,three two one eight nine,three two one eight nine,three two one eight nine
SNR35dB_girl_seq5digits_077.wav,SNR35dB,girl,5,three oh three four oh,three ou three four em,three out three four m
SNR35dB_girl_seq5digits_074.wav,SNR35dB,girl,5,two three two five five,two three two five five,two three two five five
SNR35dB_girl_seq5digits_034.wav,SNR35dB,girl,5,zero five zero three five,zero five zero three five,zero five zero three five
SNR35dB_girl_seq5digits_092.wav,SNR35dB,girl,5,zero seven nine seven nine,zerah seven nine seventy nine,zero seven nine seventy nine
SNR35dB_girl_seq5digits_084.wav,SNR35dB,girl,5,eight nine seven eight zero,eight nine seven eight zuo,eight nine seven eight suo
SNR35dB_girl_seq5digits_015.wav,SNR35dB,girl,5,three five five five six,three five five five six,three five five five six
SNR35dB_girl_seq5digits_052.wav,SNR35dB,girl,5,one oh six one one,what as takes one would,what as takes one would
SNR35dB_girl_seq5digits_004.wav,SNR35dB,girl,5,two nine seven zero two,two nine seven zeratau,two nine seven zero te
SNR35dB_girl_seq5digits_079.wav,SNR35dB,girl,5,oh oh three seven one,oh o three seven one,oh o three seven one
SNR35dB_girl_seq5digits_010.wav,SNR35dB,girl,5,nine four one nine three,nine four one nine three,nine four one nine three
SNR35dB_girl_seq5digits_087.wav,SNR35dB,girl,5,eight seven seven zero five,eight seven seven zero five,eight seven seven zero five
SNR35dB_girl_seq5digits_089.wav,SNR35dB,girl,5,one five six one eight,one five six one eight,one five six one eight
SNR35dB_girl_seq3digits_073.wav,SNR35dB,girl,3,nine oh four,nine o four,nine o four
SNR35dB_girl_seq3digits_055.wav,SNR35dB,girl,3,oh eight nine,o eight nine,o eight nine
SNR35dB_girl_seq3digits_058.wav,SNR35dB,girl,3,eight oh nine,a o nine,a o nine
SNR35dB_girl_seq3digits_002.wav,SNR35dB,girl,3,two nine eight,two nine eight,two nine eight
SNR35dB_girl_seq3digits_018.wav,SNR35dB,girl,3,four four zero,four four zyra,four four zerah
SNR35dB_girl_seq3digits_041.wav,SNR35dB,girl,3,nine nine zero,nan nan dero,nan nan dere
SNR35dB_girl_seq3digits_023.wav,SNR35dB,girl,3,nine nine three,nine nine three,nine nine three
SNR35dB_girl_seq3digits_030.wav,SNR35dB,girl,3,six six one,six six one,six six one
SNR35dB_girl_seq3digits_047.wav,SNR35dB,girl,3,one five nine,one five nine,one five nine
SNR35dB_girl_seq3digits_005.wav,SNR35dB,girl,3,one six zero,one six zera,one six zere
SNR35dB_girl_seq3digits_046.wav,SNR35dB,girl,3,zero zero three,zirazira thiri,zirazira thirty
SNR35dB_girl_seq3digits_044.wav,SNR35dB,girl,3,two six one,two six one,two six one
SNR35dB_girl_seq3digits_089.wav,SNR35dB,girl,3,one two oh,one two o,one two o
SNR35dB_girl_seq3digits_063.wav,SNR35dB,girl,3,zero five zero,zero phive zera,zero five zero
SNR35dB_girl_seq3digits_096.wav,SNR35dB,girl,3,four oh five,four ou fab,for a fat
SNR35dB_girl_seq3digits_001.wav,SNR35dB,girl,3,seven zero one,seven ze ro one,seven zero one
SNR35dB_girl_seq3digits_064.wav,SNR35dB,girl,3,three six one,thirty six one,thirty six one
SNR35dB_girl_seq3digits_048.wav,SNR35dB,girl,3,oh three nine,o three nine,o three nine
SNR35dB_girl_seq3digits_026.wav,SNR35dB,girl,3,nine two three,nine two three,nine two three
SNR35dB_girl_seq3digits_020.wav,SNR35dB,girl,3,zero three one,cyra three one,syra three one
SNR35dB_girl_seq3digits_015.wav,SNR35dB,girl,3,six two six,six t six,six six
SNR35dB_girl_seq3digits_045.wav,SNR35dB,girl,3,eight zero four,eight zyro four,eight zero four
SNR35dB_girl_seq3digits_069.wav,SNR35dB,girl,3,four nine two,bornan to,born and to
SNR35dB_girl_seq3digits_066.wav,SNR35dB,girl,3,eight zero one,eight zy roarn,eight ze roan
SNR35dB_girl_seq3digits_074.wav,SNR35dB,girl,3,nine four two,nine four two,nine four two
SNR35dB_girl_seq3digits_068.wav,SNR35dB,girl,3,seven six five,seven six five,seven six five
SNR35dB_girl_seq3digits_010.wav,SNR35dB,girl,3,nine two oh,narntu o,naratu o
SNR35dB_girl_seq3digits_014.wav,SNR35dB,girl,3,two eight seven,two eght seven,two eight seven
SNR35dB_girl_seq3digits_097.wav,SNR35dB,girl,3,three one seven,three one seven,three one seven
SNR35dB_girl_seq3digits_028.wav,SNR35dB,girl,3,nine three seven,nine thirty seven,nine thirty seven
SNR35dB_girl_seq3digits_060.wav,SNR35dB,girl,3,one seven two,one seven two,one seven two
SNR35dB_girl_seq3digits_082.wav,SNR35dB,girl,3,eight zero one,eight dearo one,eight dear one
SNR35dB_girl_seq3digits_081.wav,SNR35dB,girl,3,seven nine seven,seven nine seven,seven nine seven d
SNR35dB_girl_seq3digits_098.wav,SNR35dB,girl,3,four seven oh,four or seven oh,four or seven o e
SNR35dB_girl_seq3digits_075.wav,SNR35dB,girl,3,zero four zero,derafordiera,dera for gera
SNR35dB_girl_seq3digits_057.wav,SNR35dB,girl,3,eight three zero,eight three siro,eight three zero
SNR35dB_girl_seq3digits_094.wav,SNR35dB,girl,3,five three four,five thirty four,five thirty four
SNR35dB_girl_seq3digits_016.wav,SNR35dB,girl,3,seven eight four,so nightfore,so night for
SNR35dB_girl_seq3digits_009.wav,SNR35dB,girl,3,seven oh six,seven o six,seven o six
SNR35dB_girl_seq3digits_042.wav,SNR35dB,girl,3,six nine eight,six nine eight,six nine eight
SNR35dB_girl_seq3digits_033.wav,SNR35dB,girl,3,seven two six,sevento six,seventy six
SNR35dB_girl_seq3digits_083.wav,SNR35dB,girl,3,five two five,five two five,five two five
SNR35dB_girl_seq3digits_088.wav,SNR35dB,girl,3,nine six two,nine six two,nine six two
SNR35dB_girl_seq3digits_013.wav,SNR35dB,girl,3,eight nine two,eight nine two,eight nine two
SNR35dB_girl_seq3digits_062.wav,SNR35dB,girl,3,five eight four,by thy for,by thy for
SNR35dB_girl_seq3digits_054.wav,SNR35dB,girl,3,eight four three,ay forth dy,ay for dry
SNR35dB_girl_seq3digits_091.wav,SNR35dB,girl,3,one oh one,one o one,one o one
SNR35dB_girl_seq3digits_087.wav,SNR35dB,girl,3,two eight one,two eight one,two eight one
SNR35dB_girl_seq3digits_053.wav,SNR35dB,girl,3,oh four eight,o for eight,for eight
SNR35dB_girl_seq3digits_006.wav,SNR35dB,girl,3,zero four one,sabrout four on,s about four on
SNR35dB_girl_seq3digits_071.wav,SNR35dB,girl,3,two seven one,two seven one,two seven one
SNR35dB_girl_seq3digits_007.wav,SNR35dB,girl,3,five three one,five three one,five three one
SNR35dB_girl_seq3digits_004.wav,SNR35dB,girl,3,four six four,four six four,four six four
SNR35dB_girl_seq3digits_036.wav,SNR35dB,girl,3,six eight zero,six eight zero,six eight zero
SNR35dB_girl_seq3digits_025.wav,SNR35dB,girl,3,nine oh eight,nine o eight,nine o eight
SNR35dB_girl_seq3digits_076.wav,SNR35dB,girl,3,oh three eight,il swa a,ill say a
SNR35dB_girl_seq3digits_095.wav,SNR35dB,girl,3,three one oh,three one o,three one o
SNR35dB_girl_seq3digits_100.wav,SNR35dB,girl,3,seven one oh,seven one o,seven one o
SNR35dB_girl_seq3digits_022.wav,SNR35dB,girl,3,seven zero zero,seven za rosero,seven zero zero
SNR35dB_girl_seq3digits_084.wav,SNR35dB,girl,3,nine four six,nine four six,nine four six
SNR35dB_girl_seq3digits_039.wav,SNR35dB,girl,3,eight nine five,eigh nine five,eight nine five
SNR35dB_girl_seq3digits_090.wav,SNR35dB,girl,3,seven five six,seven fav six,seven five six
SNR35dB_girl_seq3digits_027.wav,SNR35dB,girl,3,zero zero seven,ceri zari seven,zero zero seven
SNR35dB_girl_seq3digits_011.wav,SNR35dB,girl,3,four seven two,four seven two,for seven two
SNR35dB_girl_seq3digits_067.wav,SNR35dB,girl,3,zero five zero,zeerou flives yera,zero five era
SNR35dB_girl_seq3digits_061.wav,SNR35dB,girl,3,nine two two,nine two two,nine two two
SNR35dB_girl_seq3digits_059.wav,SNR35dB,girl,3,six six three,six six three,six six three
SNR35dB_girl_seq3digits_031.wav,SNR35dB,girl,3,nine oh oh,bade a a,bade a a
SNR35dB_girl_seq3digits_035.wav,SNR35dB,girl,3,three two seven,three two seven,three two seven
SNR35dB_girl_seq3digits_056.wav,SNR35dB,girl,3,one three zero,one three zero,one three zero
SNR35dB_girl_seq3digits_051.wav,SNR35dB,girl,3,seven oh two,seven o two,seven o two
SNR35dB_girl_seq3digits_086.wav,SNR35dB,girl,3,three five three,three five three,three five three
SNR35dB_girl_seq3digits_052.wav,SNR35dB,girl,3,six one three,six one three,six one three
SNR35dB_girl_seq3digits_029.wav,SNR35dB,girl,3,six oh nine,six o nine,six o nine
SNR35dB_girl_seq3digits_012.wav,SNR35dB,girl,3,seven three oh,seven three o,seven three o
SNR35dB_girl_seq3digits_070.wav,SNR35dB,girl,3,three one oh,three one o,three one o
SNR35dB_girl_seq3digits_038.wav,SNR35dB,girl,3,six nine zero,six nine zee ro,six nine zero
SNR35dB_girl_seq3digits_050.wav,SNR35dB,girl,3,five eight three,five eight three,five eight three
SNR35dB_girl_seq3digits_092.wav,SNR35dB,girl,3,two eight oh,two o,two o
SNR35dB_girl_seq3digits_021.wav,SNR35dB,girl,3,three three nine,three three nad,three three nan
SNR35dB_girl_seq3digits_019.wav,SNR35dB,girl,3,oh one one,oh one one,oh one one
SNR35dB_girl_seq3digits_078.wav,SNR35dB,girl,3,five eight four,fab ate four,bab at four
SNR35dB_girl_seq3digits_017.wav,SNR35dB,girl,3,oh oh two,oh oh dea,oh oh dear
SNR35dB_girl_seq3digits_079.wav,SNR35dB,girl,3,nine oh two,nine o two,nine o two
SNR35dB_girl_seq3digits_034.wav,SNR35dB,girl,3,four zero five,four zer a five,four zero five
SNR35dB_girl_seq3digits_085.wav,SNR35dB,girl,3,six nine eight,six nine eight,six nine eight
SNR35dB_girl_seq3digits_099.wav,SNR35dB,girl,3,four two six,four two six,four two six
SNR35dB_girl_seq3digits_003.wav,SNR35dB,girl,3,oh eight five,o eight five,o eight five
SNR35dB_girl_seq3digits_043.wav,SNR35dB,girl,3,zero nine zero,zeronine zera,zero nine zerah
SNR35dB_girl_seq3digits_032.wav,SNR35dB,girl,3,eight four five,eight four five,eight four five
SNR35dB_girl_seq3digits_072.wav,SNR35dB,girl,3,five nine oh,five nine o,five nine o
SNR35dB_girl_seq3digits_049.wav,SNR35dB,girl,3,nine nine four,nine nine fuller,nine nine for
SNR35dB_girl_seq3digits_077.wav,SNR35dB,girl,3,four seven five,four seven five,four seven five
SNR35dB_girl_seq3digits_037.wav,SNR35dB,girl,3,five nine five,five nine five,five nine five
SNR35dB_girl_seq3digits_024.wav,SNR35dB,girl,3,five six nine,five six nine,five six nine
SNR35dB_girl_seq3digits_080.wav,SNR35dB,girl,3,eight four three,eight four three,eight four three
SNR35dB_girl_seq3digits_040.wav,SNR35dB,girl,3,one nine five,one nane five,one nine five n
SNR35dB_girl_seq3digits_065.wav,SNR35dB,girl,3,oh six two,o six tal,a six tail
SNR35dB_girl_seq3digits_093.wav,SNR35dB,girl,3,five two one,five two one,five two one
SNR35dB_girl_seq3digits_008.wav,SNR35dB,girl,3,seven oh two,seven o two,seven o two
SNR35dB_girl_seq1digit_198.wav,SNR35dB,girl,1,two,two,two
SNR35dB_girl_seq1digit_177.wav,SNR35dB,girl,1,two,two,two
SNR35dB_girl_seq1digit_136.wav,SNR35dB,girl,1,one,why,why
SNR35dB_girl_seq1digit_128.wav,SNR35dB,girl,1,oh,our,out
SNR35dB_girl_seq1digit_102.wav,SNR35dB,girl,1,four,for,for
SNR35dB_girl_seq1digit_191.wav,SNR35dB,girl,1,three,three,three
SNR35dB_girl_seq1digit_138.wav,SNR35dB,girl,1,one,one,one
SNR35dB_girl_seq1digit_056.wav,SNR35dB,girl,1,zero,zera,zara
SNR35dB_girl_seq1digit_127.wav,SNR35dB,girl,1,nine,nine,nine
SNR35dB_girl_seq1digit_002.wav,SNR35dB,girl,1,six,six,six
SNR35dB_girl_seq1digit_103.wav,SNR35dB,girl,1,one,wine,wine
SNR35dB_girl_seq1digit_181.wav,SNR35dB,girl,1,eight,a,a
SNR35dB_girl_seq1digit_009.wav,SNR35dB,girl,1,six,six,six
SNR35dB_girl_seq1digit_054.wav,SNR35dB,girl,1,zero,his ero,his ero
SNR35dB_girl_seq1digit_141.wav,SNR35dB,girl,1,nine,nan,nan
SNR35dB_girl_seq1digit_055.wav,SNR35dB,girl,1,three,three,three
SNR35dB_girl_seq1digit_088.wav,SNR35dB,girl,1,two,to,to
SNR35dB_girl_seq1digit_121.wav,SNR35dB,girl,1,one,one,one
SNR35dB_girl_seq1digit_139.wav,SNR35dB,girl,1,six,sex,six
SNR35dB_girl_seq1digit_068.wav,SNR35dB,girl,1,six,six,six
SNR35dB_girl_seq1digit_154.wav,SNR35dB,girl,1,oh,ou,out
SNR35dB_girl_seq1digit_075.wav,SNR35dB,girl,1,zero,derel,dere
SNR35dB_girl_seq1digit_137.wav,SNR35dB,girl,1,eight,a,ah
SNR35dB_girl_seq1digit_185.wav,SNR35dB,girl,1,nine,night,night
SNR35dB_girl_seq1digit_079.wav,SNR35dB,girl,1,four,four,four
SNR35dB_girl_seq1digit_023.wav,SNR35dB,girl,1,nine,nine,nine
SNR35dB_girl_seq1digit_017.wav,SNR35dB,girl,1,eight,eight,it
SNR35dB_girl_seq1digit_099.wav,SNR35dB,girl,1,eight,i,i
SNR35dB_girl_seq1digit_179.wav,SNR35dB,girl,1,five,five,five
SNR35dB_girl_seq1digit_038.wav,SNR35dB,girl,1,five,besides,besides
SNR35dB_girl_seq1digit_015.wav,SNR35dB,girl,1,zero,sera,sera
SNR35dB_girl_seq1digit_115.wav,SNR35dB,girl,1,zero,zero,zero
SNR35dB_girl_seq1digit_031.wav,SNR35dB,girl,1,two,two,two
SNR35dB_girl_seq1digit_057.wav,SNR35dB,girl,1,two,two,two
SNR35dB_girl_seq1digit_046.wav,SNR35dB,girl,1,nine,nine,nine
SNR35dB_girl_seq1digit_153.wav,SNR35dB,girl,1,oh,ow,how
SNR35dB_girl_seq1digit_170.wav,SNR35dB,girl,1,five,fanit,van
SNR35dB_girl_seq1digit_065.wav,SNR35dB,girl,1,oh,oh,oh
SNR35dB_girl_seq1digit_190.wav,SNR35dB,girl,1,two,do,do
SNR35dB_girl_seq1digit_011.wav,SNR35dB,girl,1,four,for,for
SNR35dB_girl_seq1digit_160.wav,SNR35dB,girl,1,five,five,five
SNR35dB_girl_seq1digit_022.wav,SNR35dB,girl,1,three,three,three
SNR35dB_girl_seq1digit_098.wav,SNR35dB,girl,1,six,six,six
SNR35dB_girl_seq1digit_152.wav,SNR35dB,girl,1,five,fat,fat
SNR35dB_girl_seq1digit_117.wav,SNR35dB,girl,1,six,six,six
SNR35dB_girl_seq1digit_018.wav,SNR35dB,girl,1,four,for,for
SNR35dB_girl_seq1digit_097.wav,SNR35dB,girl,1,oh,oh,oh
SNR35dB_girl_seq1digit_125.wav,SNR35dB,girl,1,eight,eight,eight
SNR35dB_girl_seq1digit_050.wav,SNR35dB,girl,1,two,too,to
SNR35dB_girl_seq1digit_116.wav,SNR35dB,girl,1,eight,i,i
SNR35dB_girl_seq1digit_169.wav,SNR35dB,girl,1,two,t,t
SNR35dB_girl_seq1digit_061.wav,SNR35dB,girl,1,eight,i,i
SNR35dB_girl_seq1digit_003.wav,SNR35dB,girl,1,five,five,five
SNR35dB_girl_seq1digit_176.wav,SNR35dB,girl,1,nine,nine,nine
SNR35dB_girl_seq1digit_094.wav,SNR35dB,girl,1,one,one,one
SNR35dB_girl_seq1digit_178.wav,SNR35dB,girl,1,zero,zero,zero
SNR35dB_girl_seq1digit_108.wav,SNR35dB,girl,1,one,want,want
SNR35dB_girl_seq1digit_200.wav,SNR35dB,girl,1,six,six,six
SNR35dB_girl_seq1digit_083.wav,SNR35dB,girl,1,three,dury,try
SNR35dB_girl_seq1digit_112.wav,SNR35dB,girl,1,seven,seven,seven
SNR35dB_girl_seq1digit_195.wav,SNR35dB,girl,1,one,when,when
SNR35dB_girl_seq1digit_084.wav,SNR35dB,girl,1,two,till,till
SNR35dB_girl_seq1digit_175.wav,SNR35dB,girl,1,nine,nine,nine
SNR35dB_girl_seq1digit_186.wav,SNR35dB,girl,1,six,six,six
SNR35dB_girl_seq1digit_168.wav,SNR35dB,girl,1,five,bad,bad
SNR35dB_girl_seq1digit_016.wav,SNR35dB,girl,1,seven,seven,seven
SNR35dB_girl_seq1digit_192.wav,SNR35dB,girl,1,one,one,one
SNR35dB_girl_seq1digit_095.wav,SNR35dB,girl,1,nine,nine,nine
SNR35dB_girl_seq1digit_096.wav,SNR35dB,girl,1,zero,zaroh,zero
SNR35dB_girl_seq1digit_197.wav,SNR35dB,girl,1,zero,zero,zero
SNR35dB_girl_seq1digit_060.wav,SNR35dB,girl,1,zero,see er i,see her i
SNR35dB_girl_seq1digit_066.wav,SNR35dB,girl,1,five,fat,fat
SNR35dB_girl_seq1digit_147.wav,SNR35dB,girl,1,five,five,five
SNR35dB_girl_seq1digit_183.wav,SNR35dB,girl,1,oh,o,o
SNR35dB_girl_seq1digit_037.wav,SNR35dB,girl,1,nine,nan,nan
SNR35dB_girl_seq1digit_049.wav,SNR35dB,girl,1,four,four,for
SNR35dB_girl_seq1digit_048.wav,SNR35dB,girl,1,four,for,for
SNR35dB_girl_seq1digit_045.wav,SNR35dB,girl,1,seven,seapen,stephen
SNR35dB_girl_seq1digit_145.wav,SNR35dB,girl,1,six,sux,so
SNR35dB_girl_seq1digit_087.wav,SNR35dB,girl,1,five,bad,bad
SNR35dB_girl_seq1digit_076.wav,SNR35dB,girl,1,nine,nine,nine
